Table S1. Data for the genome collection employed in this work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,Length,GC.content,Present.Markers,Completeness,Redundancy,Weighted.completeness,Weighted.redundancy,Contigs,N50,L50,N90,L90,CDs,
GCF_003034915.1,PRJNA224116,SAMN08802955,PZJX00000000.1,representative genome,1776423,1776423,Mesorhizobium helmanticense,strain=CSLC115N,,latest,Contig,Major,Full,2018-04-05,ASM303491v1,Instituto de Biotecnologia y Biologia Molecular,GCA_003034915.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/034/915/GCF_003034915.1_ASM303491v1,,assembly from type material,6879637,62.42,104,0.9905,1.0385,0.9814,1.0607,145,181688,14,31975,43,6588,
GCF_003046475.1,PRJNA224116,SAMN08769590,PZZZ00000000.1,representative genome,28320,28320,Mycoplana dimorpha,strain=DSM 7138,,latest,Scaffold,Major,Full,2018-04-09,ASM304647v1,DOE Joint Genome Institute,GCA_003046475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/046/475/GCF_003046475.1_ASM304647v1,,assembly from type material,4592697,64.52,104,0.9905,1.0096,0.9814,1.026,22,583305,4,163296,9,4226,
GCF_003049685.1,PRJNA224116,SAMN08800193,PYSY00000000.2,na,571256,571256,Ochrobactrum pituitosum,strain=CCUG 50899,,latest,Contig,Major,Full,2018-06-26,ASM304968v2,Intercollegiate Faculty of Biotechnology UG&MUG,GCA_003049685.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/049/685/GCF_003049685.1_ASM304968v2,,assembly from type material,5518186,53.42,104,0.9905,1.0865,0.9814,1.1275,10,1723726,2,161918,4,5535,
GCF_003053845.1,PRJNA224116,SAMN08776944,QAYG00000000.1,representative genome,665038,665038,Breoghania corrubedonensis,strain=DSM 23382,,latest,Contig,Major,Full,2018-04-17,ASM305384v1,DOE Joint Genome Institute,GCA_003053845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/053/845/GCF_003053845.1_ASM305384v1,,assembly from type material,5331589,63.62,104,0.9905,1.0192,0.9814,1.0224,21,403143,3,178018,11,4689,
GCF_003056345.1,PRJNA224116,SAMN08781060,PYWB00000000.1,representative genome,1173082,1173082,Devosia submarina,strain=JCM 18935,,latest,Contig,Major,Full,2018-04-18,ASM305634v1,Zhejiang Wanli University,GCA_003056345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/056/345/GCF_003056345.1_ASM305634v1,,assembly from type material,3980379,60.41,105,1,1.0381,1,1.0816,45,328865,5,92843,13,3903,
GCF_003056405.1,PRJNA224116,SAMN08781054,PYVZ00000000.1,representative genome,2079253,2079253,Devosia indica,strain=IO390501,,latest,Scaffold,Major,Full,2018-04-18,ASM305640v1,Zhejiang Wanli University,GCA_003056405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/056/405/GCF_003056405.1_ASM305640v1,,assembly from type material,3953940,61.91,105,1,1,1,1,69,156929,8,68509,21,3895,
GCF_003058325.1,PRJNA224116,SAMN08828928,,representative genome,2051553,2051553,Methylobacterium currus,strain=PR1016A,,latest,Chromosome,Major,Full,2018-04-21,ASM305832v1,Korea university,GCA_003058325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/058/325/GCF_003058325.1_ASM305832v1,,assembly from type material,7745135,70.19,103,0.981,1.0194,0.9743,1.04,5,6553813,1,974845,2,7130,
GCF_003058385.1,PRJNA224116,SAMN08929321,QBLB00000000.1,na,754774,384,Rhizobium leguminosarum bv. viciae USDA 2370,strain=USDA 2370,,latest,Contig,Major,Full,2018-04-21,ASM305838v1,UPM,GCA_003058385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/058/385/GCF_003058385.1_ASM305838v1,,assembly from type material,7851935,60.57,103,0.981,1.0194,0.9813,1.0257,108,413138,5,61813,24,7517,
GCF_003096615.1,PRJNA224116,SAMN08769567,QEKZ00000000.1,representative genome,410,410,Methylobacterium organophilum,strain=DSM 760,,latest,Scaffold,Major,Full,2018-05-07,ASM309661v1,DOE Joint Genome Institute,GCA_003096615.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/615/GCF_003096615.1_ASM309661v1,,assembly from type material,6750984,71.38,103,0.981,1.0291,0.9743,1.0545,85,170701,12,45874,40,6345,
GCF_003113265.1,PRJNA224116,SAMN08554708,PUIV00000000.1,representative genome,428,428,Methylosinus sporium,strain=DSM 17706,,latest,Contig,Major,Full,2018-05-10,ASM311326v1,Radboud University,GCA_003113265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/113/265/GCF_003113265.1_ASM311326v1,,assembly from type material,3785845,65.24,104,0.9905,1,0.9998,1,55,96528,11,38136,35,3537,
GCF_003122325.1,PRJNA224116,SAMN09039335,QFBC00000000.1,representative genome,2182425,2182425,Rhizobium album,strain=NS-104,,latest,Contig,Major,Full,2018-05-13,ASM312232v1,Nanjing Agricultural University,GCA_003122325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/122/325/GCF_003122325.1_ASM312232v1,,assembly from type material,6868712,61.93,104,0.9905,1.0385,0.9883,1.0718,62,302817,7,77397,22,6630,
GCF_003148475.1,PRJNA224116,SAMN08770120,QGGG00000000.1,representative genome,93369,93369,Pseudaminobacter salicylatoxidans,strain=DSM 6986,,latest,Scaffold,Major,Full,2018-05-22,ASM314847v1,DOE Joint Genome Institute,GCA_003148475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/148/475/GCF_003148475.1_ASM314847v1,,assembly from type material,4836797,62.67,104,0.9905,1.0481,0.9814,1.0436,43,232367,7,64731,21,4698,
GCF_003148495.1,PRJNA224116,SAMN08775555,QGGH00000000.1,na,381,381,Mesorhizobium loti,strain=DSM 2626,,latest,Scaffold,Major,Full,2018-05-22,ASM314849v1,DOE Joint Genome Institute,GCA_003148495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/148/495/GCF_003148495.1_ASM314849v1,,assembly from type material,7451806,62.35,104,0.9905,1.0481,0.9814,1.081,52,607128,4,107788,18,7267,
GCF_003149475.2,PRJNA224116,SAMN09039181,QFWV00000000.2,representative genome,2184161,2184161,Oceaniradius stylonematis,strain=StC1,,latest,Scaffold,Major,Full,2018-10-02,ASM314947v2,Chung-Ang university,GCA_003149475.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/475/GCF_003149475.2_ASM314947v2,,assembly from type material,3581627,64.74,102,0.9714,1,0.9802,1,23,444929,3,213772,7,3505,
GCF_003173715.1,PRJNA224116,SAMN09235291,,representative genome,2202825,2202825,Methylobacterium durans,strain=17SD2-17,,latest,Complete Genome,Major,Full,2018-05-29,ASM317371v1,Seoul Women's University,GCA_003173715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/173/715/GCF_003173715.1_ASM317371v1,,assembly from type material,6788375,68.74,103,0.981,1.0097,0.9743,1.0228,1,6788375,1,6788375,1,6791,
GCF_003173755.1,PRJNA224116,SAMN09235361,,representative genome,2202827,2202827,Methylobacterium terrae,strain=17Sr1-28,,latest,Complete Genome,Major,Full,2018-05-29,ASM317375v1,Seoul Women's University,GCA_003173755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/173/755/GCF_003173755.1_ASM317375v1,,assembly from type material,6162702,71.56,100,0.9524,1.01,0.9528,1.0233,1,6162702,1,6162702,1,5627,
GCF_003182235.1,PRJNA224116,SAMN09065088,QGTP00000000.1,na,28101,28101,Phyllobacterium myrsinacearum,strain=IAM 13584,,latest,Scaffold,Major,Full,2018-05-31,ASM318223v1,DOE Joint Genome Institute,GCA_003182235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/182/235/GCF_003182235.1_ASM318223v1,,assembly from type material,5420195,59.32,104,0.9905,1.0096,0.9814,1.0017,32,326763,5,89690,17,5192,
GCF_003182275.1,PRJNA224116,SAMN09074944,QGTR00000000.1,representative genome,274592,274592,Hoeflea marina,strain=DSM 16791,,latest,Scaffold,Major,Full,2018-05-31,ASM318227v1,DOE Joint Genome Institute,GCA_003182275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/182/275/GCF_003182275.1_ASM318227v1,,assembly from type material,5261965,64.95,103,0.981,1,0.9722,1,21,911015,3,199314,7,4799,
GCF_003201475.1,PRJNA224116,SAMN08769589,QJJK00000000.1,representative genome,28210,28210,Chelatococcus asaccharovorans,strain=DSM 6462,,latest,Scaffold,Major,Full,2018-06-07,ASM320147v1,DOE Joint Genome Institute,GCA_003201475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/475/GCF_003201475.1_ASM320147v1,,assembly from type material,7254611,63.99,103,0.981,1,0.9497,1,40,476980,6,139748,17,6679,
GCF_003205195.1,PRJNA224116,SAMN09298572,QJRY00000000.1,representative genome,1986026,1986026,Rhizobium wuzhouense,strain=W44,,latest,Contig,Major,Full,2018-06-10,ASM320519v1,South China Agricultural University,GCA_003205195.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/205/195/GCF_003205195.1_ASM320519v1,,assembly from type material,4933972,61.62,103,0.981,1.0194,0.9813,1.0123,32,493163,4,124082,10,4751,
GCF_003217235.1,PRJNA224116,SAMN08775270,QJTF00000000.1,representative genome,314237,314237,Phyllobacterium leguminum,strain=ORS 1419,,latest,Scaffold,Major,Full,2018-06-12,ASM321723v1,DOE Joint Genome Institute,GCA_003217235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/217/235/GCF_003217235.1_ASM321723v1,,assembly from type material,3737298,59.84,104,0.9905,1,0.9814,1,68,139063,9,35337,28,3601,
GCF_003217325.1,PRJNA224116,SAMN05877808,QJTI00000000.1,representative genome,99655,99655,Rhodopseudomonas faecalis,strain=JCM 11668,,latest,Scaffold,Major,Full,2018-06-12,ASM321732v1,DOE Joint Genome Institute,GCA_003217325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/217/325/GCF_003217325.1_ASM321732v1,,assembly from type material,4068611,64.23,104,0.9905,1,0.9814,1,62,151163,10,50081,28,3740,
GCF_003234965.1,PRJNA224116,SAMN09236930,QKVK00000000.1,representative genome,2650924,2650924,Aestuariivirga litoralis,strain=KCTC 52945,,latest,Contig,Major,Full,2018-06-18,ASM323496v1,Sun Yat-sen University. SYSU,GCA_003234965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/234/965/GCF_003234965.1_ASM323496v1,,assembly from type material,4231275,65.47,104,0.9905,1.0288,0.9814,1.0607,26,365037,4,114671,10,4026,
GCF_003240565.1,PRJNA224116,SAMN07689692,PCDQ00000000.1,representative genome,2041385,2041385,Rhizobium tumorigenes,strain=1078,,latest,Contig,Major,Full,2018-06-18,ASM324056v1,Julius Kuehn-Institut. Federal Research Centre for Cultivated Plants (JKI). EP,GCA_003240565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/240/565/GCF_003240565.1_ASM324056v1,,assembly from type material,5899412,59.99,104,0.9905,1.0192,0.9814,1.0257,129,286636,6,33195,28,5607,
GCF_003240585.1,PRJNA224116,SAMN07689693,PCDP00000000.1,representative genome,484088,484088,Rhizobium tubonense,strain=CCBAU 85046,,latest,Contig,Major,Full,2018-06-18,ASM324058v1,Julius Kuehn-Institut. Federal Research Centre for Cultivated Plants (JKI). EP,GCA_003240585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/240/585/GCF_003240585.1_ASM324058v1,,assembly from type material,6540512,59.27,104,0.9905,1.0288,0.9814,1.0337,85,177535,8,57073,33,6388,
GCF_003258765.1,PRJNA224116,SAMN07423845,NPET00000000.1,na,1074,1074,Rhodoblastus acidophilus,strain=DSM 137,,latest,Scaffold,Major,Full,2018-06-20,ASM325876v1,Indiana University,GCA_003258765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/765/GCF_003258765.1_ASM325876v1,,assembly from type material,4723883,65.2,104,0.9905,1,0.9814,1,246,47948,32,13156,102,4566,
GCF_003258805.1,PRJNA224116,SAMN07423869,NPEU00000000.1,representative genome,29408,29408,Rhodoplanes elegans,strain=DSM 11907,,latest,Scaffold,Major,Full,2018-06-20,ASM325880v1,Indiana University,GCA_003258805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/805/GCF_003258805.1_ASM325880v1,,assembly from type material,6502640,69.43,104,0.9905,1.0288,0.9814,1.0355,1103,11051,167,2960,603,6483,
GCF_003258835.1,PRJNA224116,SAMN07424250,NPEV00000000.1,representative genome,34017,34017,Rhodobium orientis,strain=DSM 11290,,latest,Scaffold,Major,Full,2018-06-20,ASM325883v1,Indiana University,GCA_003258835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/835/GCF_003258835.1_ASM325883v1,,assembly from type material,5189386,65.37,104,0.9905,1.0288,0.9814,1.0628,244,70567,22,22440,67,4794,
GCF_003258855.1,PRJNA224116,SAMN07424629,NPEW00000000.1,na,444923,444923,Rhodoplanes piscinae,strain=DSM 19946,,latest,Scaffold,Major,Full,2018-06-20,ASM325885v1,Indiana University,GCA_003258855.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/855/GCF_003258855.1_ASM325885v1,,assembly from type material,5370996,70.15,104,0.9905,1.0481,0.9814,1.0582,880,15387,103,3977,367,5435,
GCF_003258865.1,PRJNA224116,SAMN07424630,NPEX00000000.1,representative genome,29409,29409,Rhodoplanes roseus,strain=DSM 5909,,latest,Scaffold,Major,Full,2018-06-20,ASM325886v1,Indiana University,GCA_003258865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/865/GCF_003258865.1_ASM325886v1,,assembly from type material,6879536,69.29,104,0.9905,1.0385,0.9814,1.057,1040,19390,103,4414,387,6824,
GCF_003258905.1,PRJNA224116,SAMN03080610,NPBC00000000.1,na,1120955,1080,Afifella marina DSM 2698,strain=DSM 2698,,latest,Scaffold,Major,Full,2018-06-20,ASM325890v1,Indiana University,GCA_003258905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/905/GCF_003258905.1_ASM325890v1,,assembly from type material,3969073,63.24,103,0.981,1.0097,0.9732,1.0004,59,212236,7,83770,17,3693,
GCF_003259955.1,PRJNA224116,SAMN08769262,QLMK00000000.1,representative genome,1293442,1293442,Falsochrobactrum ovis,strain=DSM 26720,,latest,Scaffold,Major,Full,2018-06-21,ASM325995v1,DOE Joint Genome Institute,GCA_003259955.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/259/955/GCF_003259955.1_ASM325995v1,,assembly from type material,3271822,50.66,104,0.9905,1.0192,0.9814,1.0362,39,187524,4,40284,18,3153,
GCF_003289945.1,PRJNA224116,SAMN09456072,QMBP00000000.1,representative genome,1209954,1209954,Mesorhizobium hawassense,strain=AC99b,,latest,Contig,Major,Full,2018-07-06,ASM328994v1,Empresa Brasileira de Pesquisa Agropecuaria,GCA_003289945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/289/945/GCF_003289945.1_ASM328994v1,,assembly from type material,7338563,63.34,104,0.9905,1.0288,0.9814,1.0607,71,303349,8,74984,25,7001,
GCF_003314995.1,PRJNA224116,SAMN09074870,QNRH00000000.1,representative genome,354351,354351,Pseudochrobactrum asaccharolyticum,strain=DSM 25619,,latest,Scaffold,Major,Full,2018-07-12,ASM331499v1,DOE Joint Genome Institute,GCA_003314995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/314/995/GCF_003314995.1_ASM331499v1,,assembly from type material,4649592,50.81,105,1,1.019,1,1.0235,39,641676,3,79515,11,4259,
GCF_003315135.1,PRJNA224116,SAMN09074757,QNRK00000000.1,representative genome,1473586,1473586,Roseiarcus fermentans,strain=DSM 24875,,latest,Scaffold,Major,Full,2018-07-12,ASM331513v1,DOE Joint Genome Institute,GCA_003315135.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/315/135/GCF_003315135.1_ASM331513v1,,assembly from type material,6792213,68.23,105,1,1.019,1,1.0444,91,145054,17,50699,47,6206,
GCF_003324485.1,PRJNA224116,SAMN09580333,QODK00000000.1,representative genome,2211145,2211145,Cohaesibacter intestini,strain=YE-B6,,latest,Contig,Major,Full,2018-07-16,ASM332448v1,Third Institute of Oceanography. State Oceanic Administration,GCA_003324485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/485/GCF_003324485.1_ASM332448v1,,assembly from type material,4789803,55.57,104,0.9905,1.0096,0.9814,1.0123,27,1119155,2,187534,7,4253,
GCF_003332305.1,PRJNA224116,SAMN09517645,QOIO00000000.1,representative genome,670291,670291,Microvirga aerophila,strain=DSM 21344,,latest,Contig,Major,Full,2018-07-20,ASM333230v1,Guangdong institute of Microbiology,GCA_003332305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/332/305/GCF_003332305.1_ASM333230v1,,assembly from type material,6003377,62.05,105,1,1.019,1,1.0432,184,101852,21,15662,76,6112,
GCF_003335045.1,PRJNA224116,SAMN09662771,QOZG00000000.1,representative genome,1899321,1899321,Phyllobacterium salinisoli,strain=LLAN61,,latest,Contig,Major,Full,2018-07-21,ASM333504v1,Chinese Academy of Forestry,GCA_003335045.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/335/045/GCF_003335045.1_ASM333504v1,,assembly from type material,5058279,59.87,104,0.9905,1.0096,0.9814,1.0003,188,502790,5,30703,17,5032,
GCF_003337575.1,PRJNA224116,SAMN08775269,QPJM00000000.1,representative genome,314236,314236,Phyllobacterium bourgognense,strain=31-25a,,latest,Scaffold,Major,Full,2018-07-24,ASM333757v1,DOE Joint Genome Institute,GCA_003337575.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/337/575/GCF_003337575.1_ASM333757v1,,assembly from type material,5618596,56.44,104,0.9905,1,0.9814,1,61,228269,7,48041,24,5592,
GCF_003337715.1,PRJNA224116,SAMN09074871,QPIX00000000.1,representative genome,1197950,1197950,Ciceribacter lividus,strain=DSM 25528,,latest,Scaffold,Major,Full,2018-07-24,ASM333771v1,DOE Joint Genome Institute,GCA_003337715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/337/715/GCF_003337715.1_ASM333771v1,,assembly from type material,4521451,63.2,103,0.981,1,0.9813,1,32,334985,5,115969,13,4280,
GCF_003347665.1,PRJNA224116,SAMN08972775,QDGA00000000.1,representative genome,2078013,2078013,Microvirga calopogonii,strain=CCBAU 65841,,latest,Scaffold,Major,Full,2018-07-31,ASM334766v1,Southwest Forestry University,GCA_003347665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/347/665/GCF_003347665.1_ASM334766v1,,assembly from type material,7413381,62.47,105,1,1.0762,1,1.0604,249,85556,22,12872,124,7379,
GCF_003350535.1,PRJNA224116,SAMN09064736,QQBB00000000.1,representative genome,186651,186651,Microvirga subterranea,strain=DSM 14364,,latest,Scaffold,Major,Full,2018-07-31,ASM335053v1,DOE Joint Genome Institute,GCA_003350535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/350/535/GCF_003350535.1_ASM335053v1,,assembly from type material,5147802,65.13,105,1,1.0286,1,1.0432,36,519753,4,86701,13,4899,
GCF_003367395.1,PRJNA224116,SAMN09742692,,representative genome,331696,331696,Pseudolabrys taiwanensis,strain=CC-BB4,,latest,Chromosome,Major,Full,2018-08-08,ASM336739v1,Korea Institute of Geoscience and Mineral Resources,GCA_003367395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/367/395/GCF_003367395.1_ASM336739v1,,assembly from type material,5593741,64.39,103,0.981,1.0194,0.9732,1.0477,1,5593741,1,5593741,1,5286,
GCF_003385925.1,PRJNA224116,SAMN05892882,QRDT00000000.1,na,999699,999699,Rhodopseudomonas pentothenatexigens,strain=JA575,,latest,Scaffold,Major,Full,2018-08-14,ASM338592v1,DOE Joint Genome Institute,GCA_003385925.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/385/925/GCF_003385925.1_ASM338592v1,,assembly from type material,5383361,65.97,103,0.981,1.0097,0.9813,1.0227,69,194650,11,43698,35,4904,
GCF_003387225.1,PRJNA224116,SAMN09064159,QUMO00000000.1,na,569860,569860,Methylovirgula ligni,strain=BW863,,latest,Scaffold,Major,Full,2018-08-14,ASM338722v1,DOE Joint Genome Institute,GCA_003387225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/387/225/GCF_003387225.1_ASM338722v1,,assembly from type material,3292724,62.29,104,0.9905,1,0.9745,1,8,931588,2,207767,5,3184,
GCF_003403015.1,PRJNA224116,SAMN09780445,QURL00000000.1,representative genome,2293836,2293836,Fulvimarina endophytica,strain=85,,latest,Contig,Major,Full,2018-08-18,ASM340301v1,Research Center for Medicine & Biology,GCA_003403015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/403/015/GCF_003403015.1_ASM340301v1,,assembly from type material,4372088,65.43,104,0.9905,1.0096,0.9814,1.0227,28,586967,4,152059,9,3937,
GCF_003403035.1,PRJNA224116,SAMN09789026,QURN00000000.1,representative genome,2294114,2294114,Mesorhizobium denitrificans,strain=LA-28,,latest,Contig,Major,Full,2018-08-18,ASM340303v1,Hankyong National University,GCA_003403035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/403/035/GCF_003403035.1_ASM340303v1,,assembly from type material,4375801,58.44,104,0.9905,1,0.9814,1,45,248341,6,60200,18,4232,
GCF_003547145.1,PRJNA224116,SAMN09934861,QWVU00000000.1,na,1076,1076,Rhodopseudomonas palustris,strain=R1,,latest,Scaffold,Major,Full,2018-09-12,ASM354714v1,Bellevue University,GCA_003547145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/547/145/GCF_003547145.1_ASM354714v1,,assembly from synonym type material,5308236,64.94,103,0.981,1.0097,0.9813,1.0311,122,90178,19,22464,62,4855,
GCF_003550175.1,PRJNA224116,SAMN06265363,QXDF00000000.1,representative genome,933063,933063,Dichotomicrobium thermohalophilum,strain=DSM 5002,,latest,Contig,Major,Full,2018-09-12,ASM355017v1,DOE Joint Genome Institute,GCA_003550175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/550/175/GCF_003550175.1_ASM355017v1,,assembly from type material,2988045,64.29,105,1,1.0095,1,1.022,7,2150849,1,195270,3,2776,
GCF_003574465.1,PRJNA224116,SAMN09644085,QOWC00000000.1,representative genome,1697972,1697972,Methylobacterium crusticola,strain=MIMD6,,latest,Scaffold,Major,Full,2018-09-18,ASM357446v1,inner mongolia ariculture university,GCA_003574465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/465/GCF_003574465.1_ASM357446v1,,assembly from type material,7502080,73.03,104,0.9905,1.0288,0.9998,1.0539,463,33995,69,9293,225,7079,
GCF_003574655.1,PRJNA224116,SAMN09580698,QNUM00000000.1,representative genome,1162980,1162980,Cohaesibacter haloalkalitolerans,strain=JC131,,latest,Contig,Major,Full,2018-09-18,ASM357465v1,Third Institute of Oceanography. State Oceanic Administration,GCA_003574655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/655/GCF_003574655.1_ASM357465v1,,assembly from type material,5014206,57.07,104,0.9905,1.0096,0.9814,1.0123,24,551965,4,96180,10,4411,
GCF_003583935.1,PRJNA224116,SAMN10037319,QYRN00000000.1,representative genome,2320271,2320271,Aureimonas flava,strain=M2BS4Y-1,,latest,Contig,Major,Full,2018-09-20,ASM358393v1,Research Center for Medicine & Biology,GCA_003583935.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/583/935/GCF_003583935.1_ASM358393v1,,assembly from type material,4090174,70.02,104,0.9905,1.0385,0.9814,1.0823,26,424277,4,84669,11,3865,
GCF_003601975.1,PRJNA224116,SAMN10038457,QZWZ00000000.1,representative genome,1300307,1300307,Mesorhizobium waimense,strain=ICMP19557,,latest,Contig,Major,Full,2018-10-01,ASM360197v1,Murdoch University,GCA_003601975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/601/975/GCF_003601975.1_ASM360197v1,,assembly from type material,8154593,62.38,104,0.9905,1.0288,0.9814,1.0607,290,169793,15,29934,63,8078,
GCF_003601985.1,PRJNA224116,SAMN10038530,QZXA00000000.1,representative genome,1777867,1777867,Mesorhizobium jarvisii,strain=LMG 28313,,latest,Contig,Major,Full,2018-10-01,ASM360198v1,Murdoch University,GCA_003601985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/601/985/GCF_003601985.1_ASM360198v1,,assembly from type material,6635082,63.19,104,0.9905,1.0192,0.9814,1.0383,48,451958,6,110708,16,6489,
GCF_003610435.1,PRJNA224116,SAMN09074966,RAQD00000000.1,na,1235591,1235591,Pseudorhodoplanes sinuspersici,strain=CECT 8374,,latest,Contig,Major,Full,2018-10-02,ASM361043v1,DOE Joint Genome Institute,GCA_003610435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/610/435/GCF_003610435.1_ASM361043v1,,assembly from type material,5963372,60.32,104,0.9905,1.0288,0.9814,1.0669,16,1007672,2,478408,5,5798,
GCF_003627755.1,PRJNA224116,SAMN10118526,,representative genome,1312183,1312183,Rhizobium jaguaris,strain=CCGE525,,latest,Complete Genome,Major,Full,2018-10-09,ASM362775v1,Center for Genomic Sciences,GCA_003627755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/755/GCF_003627755.1_ASM362775v1,,assembly from type material,8025568,59.43,104,0.9905,1.0673,0.9814,1.0828,4,4575315,1,550563,3,7614,
GCF_003664555.1,PRJNA224116,SAMN10187550,RCHH00000000.1,representative genome,2448455,2448455,Ochrobactrum soli,strain=BO-7,,latest,Contig,Major,Full,2018-10-16,ASM366455v1,Hankyong National University,GCA_003664555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/664/555/GCF_003664555.1_ASM366455v1,,assembly from type material,5024120,57.16,104,0.9905,1.0192,0.9814,1.0362,48,359264,5,54517,21,4745,
GCF_003667445.1,PRJNA224116,SAMN10232499,RCTF00000000.1,representative genome,60216,60216,Xanthobacter tagetidis,strain=ATCC 700314,,latest,Contig,Major,Full,2018-10-21,ASM366744v1,maclea_lab,GCA_003667445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/445/GCF_003667445.1_ASM366744v1,,assembly from type material,4945221,69.48,104,0.9905,1.0192,0.9814,1.0463,87,229695,8,96058,22,4550,
